league,team_name,lat,long
Scottish Premier League,Aberdeen,57.159302,-2.08872
Scottish Premier League,Celtic,55.849701,-4.20561
Scottish Premier League,Dundee,56.474701,-2.97352
Scottish Premier League,Dundee United,56.4748,-2.96902
Scottish Premier League,Falkirk,56.005299,-3.75262
Scottish Premier League,Heart of Midlothian,55.938801,-3.2325
Scottish Premier League,Hibernian,55.961601,-3.16521
Scottish Premier League,Kilmarnock,55.604599,-4.50846
Scottish Premier League,Livingston,55.886398,-3.52207
Scottish Premier League,Motherwell,55.780399,-3.9803
Scottish Premier League,Rangers,55.852901,-4.30962
Scottish Premier League,St Mirren,55.850601,-4.44425
Scottish Championship,Airdrieonians,55.8599014,-3.9791244
Scottish Championship,Arbroath,56.552299,-2.5914
Scottish Championship,Ayr United,55.4697,-4.61996
Scottish Championship,Dunfermline,56.0756,-3.44196
Scottish Championship,Greenock Morton,55.941399,-4.72719
Scottish Championship,Partick Thistle,55.8815,-4.26938
Scottish Championship,Queen's Park,55.8249428,-4.2587622
Scottish Championship,Raith Rovers,56.099899,-3.16851
Scottish Championship,Ross County,57.595901,-4.41898
Scottish Championship,St Johnstone,56.409901,-3.47684
Scottish League One,Alloa Athletic,56.1166,-3.77865
Scottish League One,Cove Rangers,57.1126129,-2.0998721
Scottish League One,East Fife,56.1889,-2.99914
Scottish League One,Hamilton Academical,55.782101,-4.058
Scottish League One,Inverness Caledonian Thistle,57.495098,-4.21751
Scottish League One,Kelty Hearts,56.1356078,-3.3812174
Scottish League One,Montrose,56.714001,-2.45902
Scottish League One,Peterhead,57.5112,-1.79599
Scottish League One,Queen of the South,55.070301,-3.6246
Scottish League One,Stenhousemuir,56.0277772,-3.8330778
Scottish League Two,Annan Athletic,54.994801,-3.2612
Scottish League Two,Clyde,55.944698,-4.0379
Scottish League Two,Dumbarton,55.9384,-4.56162
Scottish League Two,East Kilbride,55.7662322,-4.1749324
Scottish League Two,Edinburgh City,55.9570499,-3.1630781
Scottish League Two,Elgin City,57.651798,-3.3209
Scottish League Two,Forfar Athletic,56.652302,-2.88492
Scottish League Two,Stirling Albion,56.119099,-3.91194
Scottish League Two,Stranraer,54.902199,-5.01249
Scottish League Two,The Spartans,55.971345,-3.2335549
